commodity_id,hs_code,commodity_desc,fish_type
89,303100042.0,"SOCKEYE (RED) SALMON, EX FILLET/LIVER/ROE, FROZEN",Salmon
90,303100045.0,"SOCKEYE (RED) SALMON, FROZEN, NESOI",Salmon
91,303100050.0,"COHO (SILVER) SALMON STEAKS, FROZEN",Salmon
92,303100052.0,"COHO (SILVER) SALMON, EX FILLET/LIVER/ROE, FROZEN",Salmon
93,303100055.0,"COHO (SILVER) SALMON, FROZEN, NESOI",Salmon
94,303100060.0,"PACIFIC SALMON STEAKS, NESOI, FROZEN",Salmon
95,303100062.0,"PACIFIC SALMON NESOI, EX FILLET,/LIVER/ROE, FROZEN",Salmon
96,303100065.0,"PACIFIC SALMON, NESOI, FROZEN",Salmon
97,303110000.0,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",Salmon
98,303120012.0,"CHINOOK (KING) SALMON (ONCORHYNCHUS TSCHAWYTSCHA), FROZEN, EXCEPT FILLETS, LIVER",Salmon
99,303120022.0,"CHUM (DOG) SALMON (ONCORHYNCHUS KETA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES",Salmon
100,303120032.0,"PINK (HUMPIE) SALMON (ONCORHYNCHUS GORBUSCHA), FROZEN, EXCEPT FILLETS, LIVERS AN",Salmon
101,303120052.0,"COHO (SILVER) SALMON (ONCORHYNCHUS KISUTCH), FROZEN, EXCEPT FILLETS, LIVERS AND ",Salmon
102,303120062.0,"PACIFIC SALMON (ONCORHYNCHUS MASOU, ONCORHYNCHUS RHODURUS), FROZEN, EXCEPT FILLE",Salmon
103,303130000.0,"ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO), FROZEN, EXCEPT FI",Salmon
104,303140000.0,"TROUT (SALMO TRUTTA; ONCORHYNCHUS MYKISS, CLARKI, AGUABONITA, GILAE, APACHE AND ",Trout
105,303190012.0,CHINOOK (KING) SALMON FROZEN EX FILLET/LIVER/ROE,Salmon
106,303190022.0,"CHUM (DOG) SALMON, FROZEN, EX FILLET/LIVER/ROE",Salmon
107,303190032.0,"PINK (HUMPIE) SALMON, FROZEN, EX FILLET/LIVER/ROE",Salmon
108,303190052.0,"COHO (SILVER) SALMON, FROZEN, EX FILLET/LIVER/ROE",Salmon
109,303190062.0,"PACIFIC SALMON, NESOI, FROZEN, EX FILLET/LIVER/ROE",Salmon
110,303190100.0,"SALMONIDAE, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI",Salmon
111,303210000.0,"TROUT (SALMO TRUTTA, SALMO CLARKI, ETC.,), FROZEN",Trout
112,303220000.0,ATLANTIC & DANUBE SALMON FROZEN EX FILLET/LVR/ROE,Salmon
113,303220020.0,"ATLANTIC SALMON AND DANUBE SALMON STEAKS, FROZEN",Salmon
114,303220040.0,"ATLANTIC AND DANUBE SALMON, FROZEN, NESOI",Salmon
115,303230000.0,"TILAPIAS (OREOCHROMIS SPP.), FROZEN, EXCEPT FILLETS, LIVERS AND ROES",Tilapia
116,303290000.0,"SALMONIDAE NESOI, FROZEN, EXCEPT FILLET/LIVER/ROE",Salmon
117,303290020.0,"SALMONIDAE STEAKS, NESOI, FROZEN",Salmon
118,303290040.0,"SALMONIDAE, NESOI, FROZEN",Salmon
119,303790040.0,"TILAPIA, FRESHWATER FROZEN EXC FILLET, LIVER & ROE",Tilapia
