commodity_id,hs_code,commodity_desc,fish_type
274,1605520500.0,"SCALLOPS, INCLUDING QUEEN SCALLOP PRODUCTS, CONTAINING FISH MEAT, PREPARED MEALS",Scallop
275,1605526000.0,"SCALLOPS, PREPARED OR PRESERVED",Scallop
276,1605530000.0,"MUSSELS, PREPARED OR PRESERVED",Mussel
277,1605530500.0,"MUSSELS, PRODUCTS CONTAINING FISH MEAT, PREPARED MEALS",Mussel
278,1605536000.0,"MUSSELS, PREPARED OR PRESERVED, NESOI",Mussel
279,1605560010.0,"CLAMS, PREPARED OR PRESERVED",Clam
280,1605561000.0,RAZOR CLAMS (SILIQUA PATULA) IN AIRTIGHT CONTAINERS,Clam
281,1605561500.0,"CLAMS, BOILED, WHETHER WHOLE, CHOPPED OR SALTED, BUT NOT OTHERWISE PREP OR PRESE",Clam
282,1605562000.0,"CLAMS IN AIRTIGHT CONTAINERS, NESOI",Clam
283,1605563000.0,"CLAMS, PREPARED OR PRESERVED, NESOI",Clam
284,1605900600.0,RAZOR CLAMS IN AIRTIGHT CONTAINERS,Clam
285,1605901000.0,CLAMS BOILED WHOLE/CHOPPED/SALTED NOV 680GRAMS GW,Clam
286,1605901500.0,"CLAMS, PREPARED OR PRESERVED",Clam
287,1605902000.0,"CLAMS IN AIRTIGHT CONTAINERS, NESOI",Clam
288,1605903000.0,"CLAMS, PREPARED OR PRESERVED, NESOI",Clam
289,1605904000.0,"OYSTERS, SMOKED",Oyster
290,1605905000.0,"OYSTERS EXCEPT SMOKED, PREPARED OR PRESERVED",Oyster
291,1605906040.0,"SCALLOPS, PREPARED OR PRESERVED",Scallop
